activity_code,activity_name,activity_description,activity_originator
305,Skills Upgrading and Retraining,"A  participant was provided training to upgrade his/her skills, and/or to retrain.",System
306,WIOA Prerequisite Trainings,A  participant enrolled in the required prerequisite training/coursework prior to entry into  an institution's approved training program.,System
307,Pre-Apprenticeship Program w/Occupational Skill Training (ITA),"I   T he participant enrolled in a Pre-Apprenticeship (PA) program that has a documented  partnership with at least one Registered Apprenticeship program. The PA's training and  curriculum must be based on industry standards, approved by the documented  Registered Apprenticeship partner(s), and prepare the individual with the skills and  competencies needed to enter one or more Registered Apprenticeship program(s).   In addition, the pre-apprenticeship program provides occupational skills training that  leads to an industry-recognized certificate, credential, or license upon completion.  f the pre-apprenticeship training does not provide occupational skills training that leads  to an industry-recognized certificate, credential, or license, the Pre-Apprenticeship  Training (224) activity code should be utilized.",System
308,Incumbent Worker Training,"T he participant participated in an incumbent worker training designed to meet the needs  of an employer or group of employers in an effort to help avert potential layoffs, or for  the employee to obtain the skills necessary to retain employment, such as increasing the  skill levels of employees so they can be promoted within the company and create backfill  opportunities for less-skilled employees.",System
311,Placed in Job Corps,A JCC staff verified that a participant enrolled in a WIOA Title IC Job Corps program.,System
312,Placed in Federal Training (includes TAA and WIOA),"TA JCC verified that a participant enrolled in a federal government supported training  program, such as a WIOA-funded project or TAA program designed to provide the  technical skills necessary to perform a specific job or group of jobs.  his definition does not include Placed in Job Corps (311), or Apprenticeship Training  (325).  This service functions as an indicator that a client is enrolled in training elsewhere and  might be part of one of the performance measures due to shared performance. This  activity code does not place someone in the Measurable Skill Gains and/or Credential  Measure.",System
313,"Placed in State and Local Trainings (non-TAA, non-WIOA)","T   A JCC staff verified that a participant entered a state and/or local agency-funded training  program. In this instance, staff should select the activity code's co-enrolled training code  option.  his definition does not include Job Corps (311), or Placed in Federal Training (312).   This service functions as an indicator that a client is enrolled in training elsewhere and  might be part of one of the performance measures due to shared performance. This  activity code does not place someone in the Measurable Skill Gains and/or Credential  Measure.",System
320,Private Sector Training,"A  participant enrolled in a private sector, non-WIOA training program.",System
321,Transitional Job,"T he participant has barriers to employment, is chronically unemployed, or has an  inconsistent work history, and has been placed by the AJCC in subsidized, time-limited  work within the public, private, or nonprofit sector. The participant must concurrently  receive comprehensive employment and supportive services. Transitional jobs are  designed to assist participants with establishing a work history, demonstrate success in  the workplace, and develop the skills that lead to entry into and retention in  unsubsidized employment.",System
322,Job Readiness Training,"A   T  participant received training regarding the skills necessary to be successful in the  workplace. The training provided the participant with specific occupational competencies  needed to perform specific tasks on the job. These competencies include, but are not  limited to: how to communicate in an office environment, how to function as part of a  team, and how to work in a deadline-driven workplace.  his  code must be applied in conjunction with one of the following codes:  1.  Occupational skills training, including training for nontraditional employment   (300)  2.  On-the-job training (301)  Incumbent worker training (308)  3.  Programs that combine workplace training with related instruction, which may  4.  include cooperative education programs (321)  Private sector operated training programs (320)  5.  Skill upgrading and re-training (305)  6.  Entrepreneurial training (302)  7.  Transitional jobs (321)  8.",System
323,Workplace Training & Cooperative Education,A  participant attended a training program that combined workplace training with related  instruction. This definition includes cooperative education programs.,System
324,Adult Education with Training Services,"T   A  participant, in consultation with an employment counselor, enrolled in Adult Education  that incorporates an Occupational Skills Training program selected from the CA ETPL that  confers industry-valued skills in priority industry sectors, and is paid for with a pre- approved Individual Training Account.   he participant must also be enrolled in one of the following activities: 300, 301, 302,  305, 306, 320, 323, 325, 330, 346, or 416.",System
325,Apprenticeship Training,A  participant enrolled into a Registered Apprenticeship Program listed on the CA ETPL.,System
